item,FD,D,N,A,FA
1,4,3,2,1,0
2,0,1,2,3,4
3,0,1,2,3,4
4,4,3,2,1,0
5,0,1,2,3,4
6,0,1,2,3,4
7,4,3,2,1,0
8,4,3,2,1,0
9,0,1,2,3,4
10,4,3,2,1,0
11,4,3,2,1,0
12,0,1,2,3,4
13,0,1,2,3,4
14,4,3,2,1,0
15,0,1,2,3,4
16,0,1,2,3,4
17,4,3,2,1,0
18,4,3,2,1,0
19,0,1,2,3,4
20,4,3,2,1,0
21,4,3,2,1,0
22,0,1,2,3,4
23,0,1,2,3,4
24,4,3,2,1,0
25,0,1,2,3,4
26,0,1,2,3,4
27,4,3,2,1,0
28,4,3,2,1,0
29,0,1,2,3,4
30,4,3,2,1,0
31,0,1,2,3,4
32,4,3,2,1,0
33,4,3,2,1,0
34,0,1,2,3,4
35,4,3,2,1,0
36,4,3,2,1,0
37,0,1,2,3,4
38,0,1,2,3,4
39,4,3,2,1,0
40,0,1,2,3,4
41,0,1,2,3,4
42,4,3,2,1,0
43,4,3,2,1,0
44,0,1,2,3,4
45,4,3,2,1,0
46,4,3,2,1,0
47,0,1,2,3,4
48,0,1,2,3,4
49,4,3,2,1,0
50,0,1,2,3,4
51,0,1,2,3,4
52,4,3,2,1,0
53,4,3,2,1,0
54,0,1,2,3,4
55,4,3,2,1,0
56,4,3,2,1,0
57,0,1,2,3,4
58,0,1,2,3,4
59,4,3,2,1,0
60,0,1,2,3,4
61,4,3,2,1,0
62,0,1,2,3,4
63,0,1,2,3,4
64,4,3,2,1,0
65,0,1,2,3,4
66,0,1,2,3,4
67,4,3,2,1,0
68,4,3,2,1,0
69,0,1,2,3,4
70,4,3,2,1,0
71,4,3,2,1,0
72,0,1,2,3,4
73,0,1,2,3,4
74,4,3,2,1,0
75,0,1,2,3,4
76,0,1,2,3,4
77,4,3,2,1,0
78,4,3,2,1,0
79,0,1,2,3,4
80,4,3,2,1,0
81,4,3,2,1,0
82,0,1,2,3,4
83,0,1,2,3,4
84,4,3,2,1,0
85,0,1,2,3,4
86,0,1,2,3,4
87,4,3,2,1,0
88,4,3,2,1,0
89,0,1,2,3,4
90,4,3,2,1,0
91,0,1,2,3,4
92,4,3,2,1,0
93,4,3,2,1,0
94,0,1,2,3,4
95,4,3,2,1,0
96,4,3,2,1,0
97,0,1,2,3,4
98,0,1,2,3,4
99,4,3,2,1,0
100,0,1,2,3,4
101,0,1,2,3,4
102,4,3,2,1,0
103,4,3,2,1,0
104,0,1,2,3,4
105,4,3,2,1,0
106,4,3,2,1,0
107,0,1,2,3,4
108,0,1,2,3,4
109,4,3,2,1,0
110,0,1,2,3,4
111,0,1,2,3,4
112,4,3,2,1,0
113,4,3,2,1,0
114,0,1,2,3,4
115,4,3,2,1,0
116,4,3,2,1,0
117,0,1,2,3,4
118,0,1,2,3,4
119,4,3,2,1,0
120,0,1,2,3,4
121,4,3,2,1,0
122,0,1,2,3,4
123,0,1,2,3,4
124,4,3,2,1,0
125,0,1,2,3,4
126,0,1,2,3,4
127,4,3,2,1,0
128,4,3,2,1,0
129,0,1,2,3,4
130,4,3,2,1,0
131,4,3,2,1,0
132,0,1,2,3,4
133,0,1,2,3,4
134,4,3,2,1,0
135,0,1,2,3,4
136,0,1,2,3,4
137,4,3,2,1,0
138,4,3,2,1,0
139,0,1,2,3,4
140,4,3,2,1,0
141,4,3,2,1,0
142,0,1,2,3,4
143,0,1,2,3,4
144,4,3,2,1,0
145,0,1,2,3,4
146,0,1,2,3,4
147,4,3,2,1,0
148,4,3,2,1,0
149,0,1,2,3,4
150,4,3,2,1,0
151,0,1,2,3,4
152,4,3,2,1,0
153,4,3,2,1,0
154,0,1,2,3,4
155,4,3,2,1,0
156,4,3,2,1,0
157,0,1,2,3,4
158,0,1,2,3,4
159,4,3,2,1,0
160,0,1,2,3,4
161,0,1,2,3,4
162,4,3,2,1,0
163,4,3,2,1,0
164,0,1,2,3,4
165,4,3,2,1,0
166,4,3,2,1,0
167,0,1,2,3,4
168,0,1,2,3,4
169,4,3,2,1,0
170,0,1,2,3,4
171,0,1,2,3,4
172,4,3,2,1,0
173,4,3,2,1,0
174,0,1,2,3,4
175,4,3,2,1,0
176,4,3,2,1,0
177,0,1,2,3,4
178,0,1,2,3,4
179,4,3,2,1,0
180,0,1,2,3,4
181,4,3,2,1,0
182,0,1,2,3,4
183,0,1,2,3,4
184,4,3,2,1,0
185,0,1,2,3,4
186,0,1,2,3,4
187,4,3,2,1,0
188,4,3,2,1,0
189,0,1,2,3,4
190,4,3,2,1,0
191,4,3,2,1,0
192,0,1,2,3,4
193,0,1,2,3,4
194,4,3,2,1,0
195,0,1,2,3,4
196,0,1,2,3,4
197,4,3,2,1,0
198,4,3,2,1,0
199,0,1,2,3,4
200,4,3,2,1,0
201,4,3,2,1,0
202,0,1,2,3,4
203,0,1,2,3,4
204,4,3,2,1,0
205,0,1,2,3,4
206,0,1,2,3,4
207,4,3,2,1,0
208,4,3,2,1,0
209,0,1,2,3,4
210,4,3,2,1,0
211,0,1,2,3,4
212,4,3,2,1,0
213,4,3,2,1,0
214,0,1,2,3,4
215,4,3,2,1,0
216,4,3,2,1,0
217,0,1,2,3,4
218,0,1,2,3,4
219,4,3,2,1,0
220,0,1,2,3,4
221,0,1,2,3,4
222,4,3,2,1,0
223,4,3,2,1,0
224,0,1,2,3,4
225,4,3,2,1,0
226,4,3,2,1,0
227,0,1,2,3,4
228,0,1,2,3,4
229,4,3,2,1,0
230,0,1,2,3,4
231,0,1,2,3,4
232,4,3,2,1,0
233,4,3,2,1,0
234,0,1,2,3,4
235,4,3,2,1,0
236,4,3,2,1,0
237,0,1,2,3,4
238,0,1,2,3,4
239,4,3,2,1,0
240,0,1,2,3,4
